Customer_Key;Geography;FirstName;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;YearlyIncome;TotalChildren;EnglishEducation;EnglishOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance;ChildrenAtHome;Tenure;Tenure Category
11471;207;Latasha;Suarez;25/09/1973;S;F;latasha19@adventure-works.com;30000;0;Partial College;Clerical;1;1;29, avenue de la Gare;;1 (11) 500 555-0180;18/11/2007;2-5 Miles;0;220;Experto
12515;189;Shelby;Bailey;3/06/1977;S;F;shelby16@adventure-works.com;30000;0;Partial College;Clerical;1;1;111, rue des Pyrenees;;1 (11) 500 555-0195;25/01/2008;2-5 Miles;0;218;Experto
12517;133;Alexa;Watson;25/08/1977;S;F;alexa0@adventure-works.com;30000;0;Partial College;Clerical;0;1;Residenz Stra§e 98;;1 (11) 500 555-0191;21/04/2008;2-5 Miles;0;215;Experto
12518;161;Jacquelyn;Dominguez;27/09/1977;S;F;jacquelyn13@adventure-works.com;30000;0;Partial College;Clerical;0;1;Werftstr 544;;1 (11) 500 555-0134;2/02/2008;2-5 Miles;0;217;Experto
12524;211;Kate;Shan;24/01/1975;S;F;kate8@adventure-works.com;30000;0;Partial College;Clerical;1;1;312, rue Villedo;;1 (11) 500 555-0191;15/12/2007;2-5 Miles;0;219;Experto
12714;157;Colleen;Lu;17/07/1973;S;F;colleen11@adventure-works.com;30000;0;Partial College;Clerical;0;1;HŸttenstr 20995;;1 (11) 500 555-0174;20/01/2008;2-5 Miles;0;218;Experto
12718;193;Tammy;Sai;14/11/1974;S;F;tammy6@adventure-works.com;30000;0;Partial College;Clerical;1;1;1, place Beaubernard;;1 (11) 500 555-0188;15/05/2008;2-5 Miles;0;214;Experto
12871;233;Leah;Li;6/10/1976;S;F;leah2@adventure-works.com;30000;0;Partial College;Clerical;0;1;9405 Curletto Dr.;;1 (11) 500 555-0122;12/05/2008;2-5 Miles;0;214;Experto
13830;237;Andrea;Cox;3/08/1977;S;F;andrea11@adventure-works.com;30000;0;Partial College;Clerical;0;1;1318 Pinehurst Court;;1 (11) 500 555-0136;13/06/2008;2-5 Miles;0;213;Experto
13837;120;Alyssa;Lee;13/08/1976;S;F;alyssa22@adventure-works.com;30000;0;Partial College;Clerical;1;1;Buergermeister-ulrich-str 123;;1 (11) 500 555-0113;15/05/2008;2-5 Miles;0;214;Experto
13838;263;Jill;Rubio;27/06/1976;S;F;jill29@adventure-works.com;30000;0;Partial College;Clerical;0;1;1153 Loma Linda;;1 (11) 500 555-0160;14/03/2008;2-5 Miles;0;216;Experto
14839;238;Natasha;Sanz;18/05/1977;S;F;natasha20@adventure-works.com;30000;0;Partial College;Clerical;0;1;8489 Seaview Ave.;;1 (11) 500 555-0115;3/12/2007;2-5 Miles;0;219;Experto
